id,name,description
1,Title,Describe Title
2,Modification,Describe Modification
3,Elite,Describe Elite
4,System,Describe System
5,Cannon,Describe Cannon
6,Turret,Describe Turret
7,Torpedo,Describe Torpedo
8,Missile,Describe Missile
9,Bomb,Describe Bomb
10,Crew,Describe Crew
11,Astromech,Describe Astromech
12,Salvaged Astromech,Describe Salvaged Astromech
13,Tech,Describe Tech
14,Illicit,Describe Illicit
15,Hardpoint,Describe Hardpoint
16,Team,Describe Team
17,Cargo,Describe Cargo
